sku,itemName,type,origin,initialstock,current Stock,uom,size,remark ,image,Last Update 
FBC245,ARBANA CONCRETE RAKE GREEN,Tool,DXB,3,0,PCS,,,Inventory_Images/FBC245.Image.115505.jpg,07/10/2025 13:02:10
ARI102CB,ARIX CORE DRILL BIT 102MM,Bit,DXB,1,1,PCS,102 mm,,Inventory_Images/ARI102CB.Image.200307.jpg,06/10/2025 01:15:14
ARI115CB,ARIX CORE DRILL BIT 115MM,Bit,DXB,1,1,PCS,115 mm,,Inventory_Images/ARI115CB.Image.200436.jpg,25/09/2025 17:38:32
ARI32CB,ARIX CORE DRILL BIT 32MM,Bit,DXB,1,1,PCS,32 mm,,Inventory_Images/ARI32CB.Image.200057.jpg,25/09/2025 17:38:33
ARI38CB,ARIX CORE DRILL BIT 38MM,Bit,DXB,1,1,PCS,38 mm,,Inventory_Images/ARI38CB.Image.200205.jpg,25/09/2025 17:38:33
FBC04,BAHCO HAND CHISELS 6 PIECE,Tool,DXB,1,1,PCS,,,Inventory_Images/FBC04.Image.120428.jpg,06/10/2025 16:04:16
FBC219,BATHTUB (1800x800x600 mm),Material ,DXB,0,1,PCS,1800x800x600 mm,,Inventory_Images/FBC219.Image.110217.jpg,02/10/2025 17:33:23
FBC204,BICYCLE,Tool,DXB,3,3,PCS,,,Inventory_Images/FBC204.Image.131650.jpg,22/09/2025 23:25:29
6290000955316,BIG SIZE GARBAGE WASTE BIN TRASH CAN WITH WHEELS 660 LITER,Tool,DXB,2,2,PCS,660 li,,Inventory_Images/6290000955316.Image.123807.jpg,23/09/2025 03:24:14
FBC08,"BLACK+ DACKER 16"" BOX FAN 55W",Tool,DXB,1,1,PCS,16 in,,Inventory_Images/FBC08.Image.120547.jpg,06/10/2025 16:05:33
VM1680B5,BLACK+DECKER VACUUM CLEANER 1600W 2.5L VM1680B5,Tool,DXB,1,1,PCS,2.5 li,,Inventory_Images/VM1680B5.Image.083021.jpg,27/09/2025 12:28:53
TR750,BOLTER CUTTER 750MM,Tool,SYD,1,1,PCS,750 mm,,Inventory_Images/TR750.Image.120835.jpg,06/10/2025 16:08:20
FBC2017,BOOKMATCH JADE GREEN MARBLE SLABS HONED (2780x2000x18 mm),Material ,DXB,0,0,PCS,2780x2000x18mm (5.56m²),,Inventory_Images/FBC2017.Image.065347.jpg,02/10/2025 17:47:50
FBC261,BOSCH LASER TRIPOD,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC261.Image.104442.jpg,26/09/2025 14:45:39
PCHWR0120,BOW SHACKLE PINNACLE 13MM GALV PK1 PCHWR0120,Truck Acc.,DXB,7,7,PCS,13 mm,,Inventory_Images/PCHWR0120.Image.121001.jpg,06/10/2025 16:09:49
TJQ27182,BRICKLINE TROJAN 100M GREEN TJQ27182,Tool,DXB,5,5,PCS,100 m,,Inventory_Images/TJQ27182.Image.121213.png,06/10/2025 16:12:00
TJO27168,BRICKLINE TROJAN 100M PINK TJO27168,Tool,DXB,3,3,PCS,100 m,,Inventory_Images/TJO27168.Image.121255.png,06/10/2025 16:12:43
FBC247,BROOM BRUSH,Tool,DXB,4,3,PCS,,,Inventory_Images/FBC247.Image.142658.jpg,02/10/2025 15:20:20
SAB57407,BROOM OUTDOOR BIO DOZER SABCO 450MM EXTRA TOUGH SAB57407,Tool,DXB,9,2,PCS,450 mm,,Inventory_Images/SAB57407.Image.121521.jpg,06/10/2025 16:15:11
FBC264,BUBBLE WRAP ROLL,Material,DXB,1,1,ROLL,,,Inventory_Images/FBC264.Image.230412.jpg,27/09/2025 03:03:39
FBC230,BUILT IN FRIDGE AND FREEZER SS (2123x756x592 mm),Tool,DXB,0,1,PCS,2123x756x592 mm,,Inventory_Images/default.jpg,02/10/2025 17:39:08
FBC229,BUILT IN FRIDGE AND FREEZER WHITE (1776x540x550 mm),Tool,DXB,0,1,PCS,1776x540x550 mm,,Inventory_Images/default.jpg,02/10/2025 17:38:36
CM450111,BUILT-IN FULLY AUTOMATIC ESPRESSO MAKER 25.580KG,Tool,DXB,0,1,PCS,25.580 kg,,Inventory_Images/default.jpg,04/10/2025 15:49:11
FBC231,BUILT-IN GAS HOB 200 SERIES STAINLESS STEEL (914x10x132 mm),Tool,DXB,0,1,PCS,914x10x132 mm,,Inventory_Images/default.jpg,02/10/2025 17:35:05
FBC233,CARBON FILTER GREEN,Tool,DXB,0,1,PCS,,,Inventory_Images/default.jpg,
FBC265,NON WOVEN GEOTEXTILE CARPET ROLL 2Mx50M,Material,DXB,2,2,ROLL,2m x 50m,,Inventory_Images/FBC265.Image.230822.jpg,05/10/2025 17:18:47
FBC17,CAT6 WIRE CABLE BOX,Material,DXB,2,2,ROLL,,,Inventory_Images/17.Image.130726.jpg,23/09/2025 00:14:33
FBC19,CIGWELD MIG WELDER,Tool,SYD,1,1,PCS,,,Inventory_Files_/FBC19.Image.121835.webp,06/10/2025 16:18:26
BM485110,COMBI ME OVEN 76CM 400 SERIES SS L CTRL 49.500KG,Tool,DXB,0,1,PCS,49.500 kg,,Inventory_Images/default.jpg,04/10/2025 15:49:55
MF999,CONCRETE PLACER RAKE MASTERFINISH,Tool,DXB,3,3,PCS,500mmx100mm,,Inventory_Images/MF999.Image.121227.jpg,04/10/2025 16:12:59
FBC23,COREFLUTE PP SHEET BLACK 2MM,Material,DXB,125,125,PCS,2 mm,,Inventory_Images/FBC23.Image.125040.jpg,06/10/2025 16:50:31
FBC262,CORFLUTE PP SHEET BLUE 3MM,Material,DXB,50,25,PCS,3 mm,,Inventory_Images/FBC262.Image.121414.jpg,02/10/2025 14:57:38
FBC24,CORNER BRESS SCISSORS IN PRO MOBILE TOOL CHEST,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC24.Image.125107.jpg,06/10/2025 16:50:59
FBC215,CORRUGATED ROLL BROWN CARDBOARD ROLL,Material,DXB,3,3,ROLL,,,Inventory_Images/FBC215.Image.101134.jpg,22/09/2025 18:59:51
FBC276,DEBRIS NET ROLL,Material,DXB,5,5,ROLL,,,Inventory_Images/FBC276.Image.102415.jpg,01/10/2025 15:09:10
FBC255,DENZEL BATTERY,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC255.Image.083352.jpg,26/09/2025 12:34:44
FBC256,DENZEL BATTERY CHARGER,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC256.Image.083415.jpg,26/09/2025 12:34:50
FBC254,DENZEL GRINDER,Tool,DXB,1,0,PCS,115 mm,,Inventory_Images/FBC254.Image.083325.jpg,06/10/2025 01:46:35
FBC29,DEWALT 5Ah BATTERY ,Tool,DXB,1,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_55_19_Field_34.jpg?alt=media&token=b9f8e776-a11a-41f5-9662-3beb69b9ed89,26/09/2025 09:20:57
FBC30,DEWALT 8M MEASUREMENT TAPE IN PRO MOBILE TOOL CHEST,Tool,DXB,1,1,PCS,8 m,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2008_06_41_Field_27.jpg?alt=media&token=639ab049-dc7c-4997-8909-cbb41b15c062,04/10/2025 15:50:50
DCS575,DEWALT CIRCULAR SAW,Tool,DXB,1,1,PCS,,,Inventory_Images/DCS575.Image.065916.jpg,10/10/2025 11:42:54
DCV100,DEWALT COMPACT BELOWER 18V DCV100-XE,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC27.Image.125900.jpg,21/09/2025 15:07:30
DCH333,DEWALT HAMMER DRILL DCH333,Tool,DXB,1,1,PCS,,,Inventory_Images/DCH333.Image.102617.jpg,10/10/2025 11:43:14
DCF887,DEWALT IMPACT DRIVER 6.3MM  (TIGHTER),Tool,DXB,1,0,PCS,6.3 mm,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_52_00_Field_34.jpg?alt=media&token=f8d3220f-a0f8-4b92-b6c9-8e4aa0e57be4,02/10/2025 08:35:45
DCF899,DEWALT IMPACT WRENCH 13MM (TIGHTER),Tool,DXB,1,1,PCS,13 mm,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-09-13%2016_53_31_Field_34.jpg?alt=media&token=a89b901f-bfa5-4bb4-94df-5c3848aeeaec,02/10/2025 08:37:06
DEJW,DEWALT JIGSAW,Tool,DXB,1,0,PCS,,,Inventory_Images/DEJW.Image.052200.jpg,26/09/2025 09:23:27
DCS356,DEWALT OSCILLATING BASE MULTITOOL 18V DCS356,Tool,DXB,1,1,PCS,,,Inventory_Images/DCS356.Image.082014.jpg,
DCP580,DEWALT PLANER DCP580,Tool,DXB,1,1,PCS,,,Inventory_Images/DCP580.Image.070133.jpg,10/10/2025 11:43:04
DCR027,DEWALT RADIO DIGITAL BLUETOOTH DCR027-XE,Tool,DXB,1,1,PCS,,,Inventory_Images/DCR027.Image.130923.jpg,
DCS388,DEWALT RECIPROCATING SAW (JIGSAW),Tool,DXB,1,1,PCS,28.6 mm,,Inventory_Images/FBC201.Image.130512.jpg,02/10/2025 15:18:58
FBC33,"DEWALT TOOLBOX ORGANISER WITH SCREWS, BOLTS, NAILS, FIXES (CARRY ALL)",Tool,SYD,2,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_333_Field_13.jpg?alt=media&token=65defe16-d6e8-4090-8ff3-d6c0a5469900,26/09/2025 09:25:30
DCL043XE,DEWALT TORCH SPOT LIGHT 18V DCL043-XE,Tool,SYD,1,1,PCS,,,Inventory_Images/FBC32.Image.125613.jpg,
FBC288,DISC ALUMINIUM CUTTING 255MM,Bit,DXB,1,1,PCS,255 mm 10 inch,,Inventory_Images/FBC288.Image.054710.jpg,02/10/2025 09:46:24
ELS400GP,DISC CONCRETE BLADE 400MM ELS400GP,Bit,DXB,10,9,PCS,400 mm,,Inventory_Images/FBC36.Image.225528.jpg,03/10/2025 13:11:00
FBC284,DISC CONCRETE CUTTING,Bit,DXB,0,0,,,,Inventory_Images/FBC284.Image.175948.jpg,01/10/2025 21:59:37
FBC286,DISC GRINDER KEY,Tool,DXB,1,0,PCS,,,Inventory_Images/FBC286.Image.180734.jpg,01/10/2025 22:07:51
FBC68,DISC GRINDING CUP 125MM,Bit,DXB,2,0,PCS,125 mm,,Inventory_Images/FBC68.Image.162106.png,01/10/2025 20:20:55
FBDTCG180,DISC GRINDING CUP 180MM,Bit,DXB,3,0,PCS,"180 mm (7"")",,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2014_39_23_Field_27.jpg?alt=media&token=55f13d0f-5997-4873-86b9-da764a068bb8,01/10/2025 20:23:56
FBC50,DISC GRINDING FLAP CUP 115x22.2MM,Bit,DXB,14,14,PCS,115 mm,,Inventory_Files_/FBC50.Image.162339.webp,01/10/2025 20:25:38
KOGC125T,DISC METAL CUTTING 125MM,Bit,DXB,16,0,PCS,125 mm,,Inventory_Images/KOGC125T.Image.162321.jpg,01/10/2025 20:23:13
FBC287,DISC METAL CUTTING 230MM,Bit,DXB,2,2,PCS,230 mm,,Inventory_Images/FBC287.Image.054430.jpg,02/10/2025 09:45:13
FBC282,DISC WOOD CUTTING 165MM,Bit,DXB,3,3,PCS,165 mm 6.5 inch,,Inventory_Images/FBC282.Image.053714.png,04/10/2025 15:52:08
FBC313,DOUBLE SIDED FOAM TAPE,Material,DXB,3,3,ROLL,,,Inventory_Images/FBC313.Image.124645.jpg,04/10/2025 16:54:40
FBC271,DRIP TRAY TUB LARGE,Tool,DXB,4,3,PCS,,,Inventory_Images/FBC271.Image.072150.jpg,01/10/2025 13:20:13
FBC272,DRIP TRAY TUB SMALL,Tool,DXB,3,2,PCS,,,Inventory_Images/FBC272.Image.072225.jpg,01/10/2025 13:20:18
FBC314,DUCT MARKING LABLE (TAPE),Material,DXB,36,36,PCS,,"18 FAD, 18 EAD",Inventory_Images/FBC314.Image.125142.jpg,04/10/2025 16:51:47
FBC237,DUSTBIN,Tool,DXB,1,1,PCS,,,Inventory_Images/FBC237.Image.121917.jpg,04/10/2025 16:18:34
FBC35,DUSTPAN SHOVEL,Tool,DXB,3,1,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-18%2014_23_05_Field_27.jpg?alt=media&token=8d43eb2b-a2d3-4133-931d-117209ec17a7,01/10/2025 15:46:45
FBC209,ELBOW BAND PIPE,Material,DXB,12,12,PCS,,,Inventory_Images/FBC209.Image.074222.jpg,23/09/2025 01:12:58
FBC38,ELECTRIC SWITCH SOCKET 1-GANG,Material,DXB,2,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2010_33_15_Field_27.jpg?alt=media&token=714ab458-6907-49c1-abfb-cd2e69e02ebc,23/09/2025 15:47:12
FBC39,ELECTRIC SWITCH SOCKET 2-GANG,Material,DXB,2,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-19%2010_32_04_Field_27.jpg?alt=media&token=a40ce6b3-9bb0-4867-8311-d7a91e7029ef,23/09/2025 15:47:26
FBC40,FACE MASK,Material,DXB,0,0,PCS,,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2014_47_37_Field_27.jpg?alt=media&token=7cff745b-0bb2-4fdd-998b-facfd12224dc,
FMM250Q,FEIN MALTIMASTER TOP FMM250Q,Tool,DXB,2,1,PCS,,,Inventory_Images/FMM250Q.Image.083221.jpg,26/09/2025 09:19:13
FBC259,FIRE EXTINGUISHER 1KG,Tool,DXB,1,1,PCS,1 kg,,Inventory_Images/FBC259.Image.095406.jpg,26/09/2025 13:53:56
FBC260,FIRE EXTINGUISHER 2KG,Tool,DXB,1,1,PCS,2 kg,,Inventory_Images/FBC260.Image.095523.jpg,26/09/2025 13:54:04
FBC251,FIRE EXTINGUISHER 5KG,Tool,DXB,2,2,PCS,5 kg,,Inventory_Images/FBC251.Image.080307.jpg,07/10/2025 12:13:09
FBC258,FIRE EXTINGUISHER 6KG,Tool,DXB,1,1,PCS,6 kg,,Inventory_Images/FBC258.Image.095224.jpg,26/09/2025 13:51:56
FBC273,FLAT SURFACE CLEANER.,Tool,DXB,1,1,PCS,30 mm,,Inventory_Images/FBC273.Image.083339.jpg,27/09/2025 12:32:47
FBC310,FLEXIBLE DUCT HOSING FOR EXHAUST FAN,Material,DXB,1,1,PCS,,,Inventory_Images/FBC310.Image.122826.jpg,05/10/2025 17:01:53
FBC334,FLEXIBLE FOAM GAP FILLER FOR CAULK,Material,DXB,6,6,ROLL,,,Inventory_Images/FBC334.Image.114235.jpg,04/10/2025 15:38:38
FBC301,FRIDGE,Tool,DXB,5,5,,,2 using in warehouse.,Inventory_Images/default.jpg,05/10/2025 11:01:48
FBDH1650,FULL BOAR DEMOLITION HAMMER 18KG 30MM HEX 50J 1700W FBDH-1650 64UYNPH/5RT9PU2,Tool,DXB,2,2,PCS,30 mm,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-17%2015_56_03_Field_27.jpg?alt=media&token=c5a21563-ac0c-47a9-a8d4-bd982a80fdec,10/10/2025 11:39:07
FBT1200,FULL BOAR DEMOLITION HAMMER BREAKER 1500W 14.2KG LDTY 40J FBT-1200,Tool,DXB,2,0,PCS,,,Inventory_Images/FBT1200.Image.054621.jpg,24/09/2025 10:36:54
FBCG14125,FULL BOAR GRINDER CONCRETE CRD 125MM 1500W FBCG-14125 6BFVUH3,Tool,DXB,1,0,PCS,125 mm,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-17%2015_53_40_Field_27.jpg?alt=media&token=287c8a7c-3454-49a4-8922-e8f51098a2d3,01/10/2025 08:51:37
FBCG20180,FULL BOAR GRINDER CONCRETE CRO 180MM 2000W FBCG-20180 6D271U2,Tool,DXB,2,0,PCS,180 mm,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-17%2016_10_52_Field_27.jpg?alt=media&token=92d12574-4fce-4ec0-b491-2229073baa11,30/09/2025 13:32:18
FBSC8041,FULL BOAR SPADE CHISEL 80MM FBSC-8041,Bit,DXB,3,3,PCS,80 mm,,Inventory_Images/FBSC8041.Image.195003.jpg,22/09/2025 23:53:11
FBWDV1240PT,FULL BOAR VACUUM WET DRY CRDED 1200W 40L FBWDV-1240PT,Tool,DXB,2,1,PCS,40 li,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_03_30_Field_27.jpg?alt=media&token=53fdb533-87a4-48a4-b5e6-27615e8a24c4,04/10/2025 15:53:50
YH1230F,GARDEN HOSE HOLMAN 12MMX30M YARDMATE FTD YH1230F,Tool,DXB,3,1,ROLL,30 m,,https://firebasestorage.googleapis.com/v0/b/mobile-inventory-2c3a7.appspot.com/o/production%2Fimages%2FS77FnMwh0Ba7e4cr1OP5Psfhvlu2%2FProduct_2025-08-16%2015_18_30_Field_27.jpg?alt=media&token=1fa6eb0d-7c31-43ab-8199-576c42ac8a30,08/10/2025 08:26:35
FBC300,GAS CAN WITH DIESEL,Material,SYD,1,1,PCS,10 li,,Inventory_Images/FBC300.Image.192033.jpg,02/10/2025 23:19:44
GWP120,SAND PAPER ABRASIVE SHEET,Material,DXB,13,13,PCS,230x280MM,,Inventory_Images/GWP120.Image.100441.jpg,05/10/2025 17:30:58
FBC267,GI CONDUIT PIPE,Material,DXB,16,16,PCS,,,Inventory_Images/FBC267.Image.070117.jpg,04/10/2025 15:54:54
FBC270,GI FLEXIBLE CONDUIT WITH PVC COATING,Material,DXB,2,2,ROLL,25 mm,,Inventory_Images/FBC270.Image.071840.jpg,04/10/2025 15:55:29
FBC268,GI TREADED BAR SHIELD ROD,Material,DXB,82,82,PCS,,,Inventory_Images/FBC268.Image.191712.jpg,04/10/2025 23:17:00
FBC269,GI TREADED BAR SHIELD ROD SMALL,Material,DXB,17,17,PCS,,,Inventory_Images/FBC269.Image.191720.jpg,04/10/2025 23:17:10
