transactionItemId,transactionId,itemName,outQuantity ,inQuantity ,inDate,Last Update
txnitem220925173609,txn220925173556,BT100,3,,,23/09/2025 15:27
txnitem190925043822,txn190925043805,KOGC125T,8,,,23/09/2025 10:38
txnitem190925043834,txn190925043805,FBC222,1,,,23/09/2025 10:38
txnitem150925143934,txn150925143819,DCS575,1,1,,10/10/2025 11:42
txnitem150925144001,txn150925143819,DCP580,1,1,,10/10/2025 11:42
txnitem150925144016,txn150925143819,DCF887,1,,,23/09/2025 14:40
txnitem150925144039,txn150925143819,DCH333,1,1,,10/10/2025 11:43
txnitem150925144120,txn150925143819,FBCG20180,1,,,23/09/2025 14:41
txnitem150925144203,txn150925143819,FBDTCG180,1,,,23/09/2025 14:42
txnitem150925144218,txn150925143819,FBWDV1240PT,1,,,23/09/2025 14:42
txnitem150925144238,txn150925143819,FBC180,1,,,23/09/2025 14:42
txnitem150925144307,txn150925143819,1214801,1,,,23/09/2025 14:43
txnitem150925144328,txn150925143819,1215401,1,,,23/09/2025 14:43
txnitem150925144350,txn150925143819,FBC241,1,1,,10/10/2025 11:39
txnitem150925151337,txn150925143819,B20547V,1,1,,10/10/2025 14:28
txnitem150925151659,txn150925143819,RR3PIN,6,,,23/09/2025 15:16
txnitem150925152019,txn150925151959,RRL100W,2,,,23/09/2025 15:20
txnitem150925152036,txn150925151959,RRL150W,3,,,24/09/2025 20:49
txnitem150925153126,txn150925153105,FBC244,1,,,23/09/2025 15:31
txnitem150925154144,txn150925154127,FBT1200,1,,,23/09/2025 15:41
txnitem150925154221,txn150925154127,FBC94,1,1,,10/10/2025 11:44
txnitem150925154311,txn150925154127,FBC93,1,,,23/09/2025 15:43
txnitem150925154324,txn150925154127,FBC33,1,,,23/09/2025 15:43
txnitem150925154351,txn150925154127,FBC122,1,,,23/09/2025 15:43
,,,,,,
txnitem150925154529,txn150925154127,FBC226,4,,,23/09/2025 15:45
txnitem150925154615,txn150925154127,FBC39,2,,,23/09/2025 15:46
txnitem150925154639,txn150925154127,FBC38,2,,,23/09/2025 15:46
txnitem240925082613,txn240925090000,FBC109,1,,,01/10/2025 8:53
txnitem240925082806,txn240925090000,S100HGSBU,1,,,25/09/2025 2:12
txnitem240925083146,txn240925090000,20116162,1,,,25/09/2025 2:11
txnitem240925083235,txn240925090000,RHD1550,2,,,25/09/2025 2:11
txnitem140925092034,txn140925092023,KWB1200,2,,,24/09/2025 9:20
txnitem140925092047,txn140925092023,TJQ25102,1,,,08/10/2025 8:27
txnitem140925092106,txn140925092023,91220045OV,2,,,24/09/2025 9:21
txnitem140925092136,txn140925092023,FBC245,2,,,24/09/2025 9:21
txnitem140925092150,txn140925092023,SAB57407,5,,,24/09/2025 9:21
txnitem140925092218,txn140925092023,20116162,5,4,10/10/2025 11:46,10/10/2025 11:46
txnitem140925092234,txn140925092023,FBC02,2,,,24/09/2025 9:22
txnitem140925092259,txn140925092023,G23SE2,1,,,24/09/2025 9:22
txnitem140925092331,txn140925092023,CR706213,2,,,24/09/2025 9:23
txnitem140925092357,txn140925092023,FS200,2,,,24/09/2025 9:23
txnitem240925103638,txn240925090000,FBT1200,1,,,24/09/2025 10:36
txnitem240925103651,txn240925090000,BT100,1,,,24/09/2025 10:36
txnitem250925090458,txn250925090446,FBC159,1,,,25/09/2025 9:04
txnitem250925090512,txn250925090446,FBC160,2,,,01/10/2025 15:45
txnitem250925090543,txn250925090446,FBC161,1,,,01/10/2025 15:44
txnitem250925090920,txn250925090446,PM50MG22,1,,,25/09/2025 9:09
txnitem250925093320,txn250925090446,LC300KG,1,,,25/09/2025 9:33
,,,,,,
txnitem260925091346,txn260925091338,FBC113,1,,,26/09/2025 9:13
txnitem260925091354,txn260925091338,FBC35,1,,,26/09/2025 9:13
txnitem260925091407,txn260925091338,FBC120,3,,,26/09/2025 9:14
txnitem260925091556,txn260925091548,FBC122,1,,,26/09/2025 9:15
txnitem260925091611,txn260925091548,FMM250Q,1,,,26/09/2025 9:16
txnitem260925091619,txn260925091548,M18BBL,1,,,26/09/2025 9:16
txnitem260925091635,txn260925091548,FBC94,3,,,26/09/2025 9:16
txnitem260925091649,txn260925091548,FBC29,1,,,26/09/2025 9:22
txnitem260925091659,txn260925091548,M18FPD3,1,,,26/09/2025 9:16
txnitem260925091721,txn260925091548,CCS55,1,,,26/09/2025 9:17
,,,,,,
txnitem260925091758,txn260925091548,CAULK2,1,,,26/09/2025 9:17
txnitem260925091807,txn260925091548,GYP1INCH,1,,,26/09/2025 9:18
txnitem260925091819,txn260925091548,GYP2INCH,1,,,26/09/2025 9:18
txnitem260925091827,txn260925091548,GYP3INCH,1,,,26/09/2025 9:18
txnitem260925091835,txn260925091548,SCR1INCH,1,,,26/09/2025 9:22
txnitem260925091678,txn260925091548,DEJW,1,,,26/09/2025 9:22
txnitem260925091698,txn260925091548,FBC33,1,,,26/09/2025 9:25
txnitem260925112142,txn260925091548,BT100,4,,,26/09/2025 11:21
,,,,,,
txnitem260925113440,txn260925113158,FBC52,4,,,26/09/2025 11:34
txnitem260925113459,txn260925113158,FBC68,1,,,26/09/2025 11:34
txnitem260925113822,txn260925113158,FBC90,1,,,26/09/2025 11:38
txnitem260925113839,txn260925113158,FBC89,25,,,26/09/2025 11:38
txnitem260925114244,txn260925113158,FBC18,11,,,26/09/2025 11:42
txnitem260925115013,txn260925113158,FBC,1,,,26/09/2025 11:50
txnitem260925115125,txn260925113158,KOGC125T,5,,,26/09/2025 11:51
txnitem260925115524,txn260925113158,FBC245,1,,,26/09/2025 11:55
txnitem260925115536,txn260925113158,20116162,1,,,26/09/2025 11:55
txnitem260925115551,txn260925113158,FBC154,5,,,26/09/2025 11:55
txnitem260925115617,txn260925113158,FBC52,36,,,26/09/2025 11:56
txnitem260925115636,txn260925113158,FBC153,1,,,26/09/2025 12:42
